mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,,
26077.520833,32907.369792,25819.104167,26481.427083,32089.057292,27866.338542,81017.901042,36036.9598215714,20042.985466112
44125.694444,28332.338889,27503.755556,27141.183333,53730.738889,28237.827778,36571.638889,35091.8825397143,10365.561477184
52390.22807,85222.192982,28578.631579,28588.807018,35529.175439,28878.263158,35577.608187,42109.2723475714,20781.895625522
28732.668639,87472.485207,28573.869822,30755.343195,98995.710059,28911.337278,60786.91716,52032.6187657143,30601.3902430148
35204.658228,75452.892405,36542.955696,35711.310127,68621.974684,56790.14557,41903.93038,50032.5524414286,16884.0828063618
29241.78125,94315.725,29382.30625,28655.6625,36325.25,30223.40625,35636.325,40540.0651785714,23921.5809346292
80534.744966,62733.966443,35265.040268,34426.979866,70199.09396,35682.073826,67038.201342,55125.7286672857,19466.0285155655
31585.05298,167651.675497,30887.529801,35766.748344,40246.668874,30808.768212,83137.430464,60011.9820245714,51004.4779827217
35344.287671,62117.69863,32962.80137,32806.089041,44141.068493,33480.082192,96386.575342,48176.9432484286,23745.9105900072
34919.02069,42412.724138,34276.158621,34305.793103,71827.965517,33796.917241,47036.22069,42653.5428571429,13835.5878036461
37619.978571,103174.028571,37583.692857,67492.092857,105626.478571,37103.764286,74295.178571,66127.8877548572,30196.5577845227
37866.152672,63871.832061,37953.007634,52185.267176,76487.564885,38552.267176,47489.832061,50629.4176664286,14864.5711376741
41906.730159,96533.5,82303.809524,128004.619048,60545.388889,41442.880952,54277.150794,72144.8684808571,31961.1260582055
42583.391667,133802.85,45881.758333,55672.183333,135870.891667,46557.783333,55695.316667,73723.4535714286,42042.7106309646
42394.081301,119900.398374,44595.365854,78011.829268,123602.99187,46067.01626,53938.601626,72644.3263647143,35629.6016485175
43929.97479,141514.008403,43903.747899,58949.058824,57885.151261,45516.983193,128141.798319,74262.9603841429,42024.7622479083
49560.157895,95165.894737,47355.964912,56100.140351,65102.780702,49442.298246,66939.973684,61381.0300752857,16797.9510054619
48442.607143,155337.598214,49846.3125,49958.0625,61391.125,49891.241071,83988.5,71265.0637754286,39196.1468695492
53534.780952,175243.904762,53400.419048,99718.085714,50506.771429,51049.295238,148331.742857,90255,52455.084865135
58716.759615,154008.951923,54641.788462,102718.490385,57059.278846,57472.509615,74875.951923,79927.6758241429,36854.338837981
53224.46,102320.77,51673.18,163101.77,53424.54,53672.09,100585.6,82571.7728571428,42230.2063324116
53279.564356,151424.811881,90489.39604,142460.089109,55333.980198,53892.544554,65731.178218,87515.9377651429,42671.1483096543
131734.255319,188052.840426,65523.361702,78183.031915,87006.468085,110911.744681,106133.914894,109649.373860286,41025.8747555703
154227.120879,295657.681319,66928.164835,71692.549451,70371.362637,87055.593407,81743.89011,118239.480376857,83832.6863332978
191189.032967,163112.89011,97114.945055,79377.549451,66454.472527,176821.472527,114608.450549,126954.116169429,49811.0812185247
115978.435294,115448.117647,64122.4,116645.623529,64140.305882,83711.647059,124515.564706,97794.5848738571,26383.1629490607
108966.261905,113092.083333,68536.285714,84376.380952,120189.97619,93620.916667,88156.595238,96705.4999998572,18250.4669104539
70168.559524,177587.988095,79673.27381,67017.5,76734.654762,72469.52381,87652.75,90186.3214287143,39132.961005838
75926.186667,131610.773333,76185.186667,76975.026667,131859.76,138485.44,96229.893333,103896.038095286,29098.1600902467
113347.821918,276281.739726,85968.794521,88676.561644,154173.09589,111492.69863,240934.60274,152982.187867,76221.2723649005
87843.541667,128697.736111,97817.166667,92050.027778,158253.138889,156139.944444,126100.5,120986.007936571,29390.4074652441
80709.697368,252602.473684,79546.105263,80779.013158,88107.684211,156030.592105,97796.026316,119367.370300714,64688.3369126018
77150.438356,151119.287671,74725.479452,77313.30137,76777.876712,97409.09589,147965.191781,100351.524461714,34483.1991785885
79387.72973,109537.891892,81445.364865,83184.972973,83169.891892,212079.027027,104966.851351,107681.675675714,47608.5254070802
82651.109589,219728.90411,84467.39726,86706.575342,85105.246575,152113.164384,154776.342466,123649.819960857,53349.2529645952
85907.533333,160469.173333,83131.96,86279.853333,86122.32,112887.653333,215548.88,118621.053333143,51008.0249038662
211114.666667,172218.375,87514.305556,88011.680556,89967.111111,111282.208333,153573.902778,130526.035714429,49052.3756698292
151151.211268,117213.605634,85869.197183,270336.197183,86653.112676,237348.521127,180718.450704,161327.185110714,72293.283226459
105312.7,158054.642857,91606.228571,137470.142857,90479.214286,262974.028571,116602.357143,137499.902040714,60492.6336887458
85545.492958,133804.492958,84394.887324,114165.464789,84884.112676,121977.732394,144352.492958,109874.953722429,25139.3048084621
136745.666667,115854.289855,86690.347826,161917.333333,91830.73913,128528.26087,155032.492754,125228.447205,29058.4395233438
140065.514706,171500.676471,83988.102941,156722.897059,90001.852941,95887.367647,116389.823529,122079.462184857,34555.3771861187
