mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,,
173741.666667,185977.666667,182636,182351.666667,184241.333333,182436.666667,174471,183962.333333,174905.333333,179739,180446.2666667,4492.04799124254
170197.333333,185257,180125,180812,182816.333333,180383.333333,171370.666667,181169.666667,171055,174948,177813.4333333,5436.91573796669
169838,176306.666667,178910.666667,178351.333333,179718,178192.666667,170627.333333,179794,168450.333333,170866.333333,175105.5333333,4586.30359044406
169163.333333,175487,176600,175805.333333,176193.666667,177423.666667,171019.666667,176517,167803.666667,168893.666667,173490.7000001,3789.61162685728
167250.333333,174161.333333,173573.666667,175709,175286.666667,175468.333333,168707.666667,177481.333333,166835.666667,166443,172091.7,4277.15234510217
165417,172577,173718.333333,173470.333333,175483,173630.666667,166908.666667,174565.666667,164764.333333,164825,170536,4453.22090679072
163905.666667,170877,173055.333333,172376.666667,174002.666667,172136.333333,165689.333333,172493,165395.666667,168401.666667,169833.3333334,3678.05153388867
163324.333333,171732.666667,173300.333333,172220.666667,174777,171393.333333,165252,171716.666667,164629.666667,165590,169393.6666667,4193.30092729828
163015.333333,170353,170698,171438,172918,171600,163900.666667,173413.333333,166468.333333,166479,169028.3666666,3753.84333567869
161460.333333,174862.333333,171039.666667,171022.666667,171744.666667,171119,163427,171330,162315,167856.666667,168617.7333334,4624.94071186375
166653,169028.333333,170982.333333,170494.333333,170244,169385.333333,160143,168990.666667,160536.333333,166278.666667,167273.5999999,3958.80428321978
163898,167074.666667,167084.333333,168836.333333,170074,170765,161320,167723.333333,161926.333333,162115,166081.6999999,3505.39414472296
161290,167332.333333,166241,169347.666667,168035.333333,168569,161936.666667,167619.333333,159376.333333,164750.666667,165449.8333333,3456.17621881328
160868,165498,168206,170642,167431.666667,170530.666667,158989,167227.666667,158112.333333,163163.666667,165066.9000001,4567.9467848815
159694.666667,165788.333333,164571.666667,168143,166380,168017.666667,156943.666667,165676.333333,158865.666667,160845,163492.6000001,4046.59140743505
160745,164725,163919,167066.666667,165222.333333,167188.666667,156385.666667,164327.333333,157494.333333,159988.666667,162706.2666667,3829.06433402982
158319,163320.333333,163698.333333,166235.333333,163561.333333,165189,155358.666667,163464.666667,157772.666667,160576,161749.5333333,3562.86796027239
158632.666667,168266,163500.333333,166220.666667,166245.333333,165872.666667,156095.666667,165542,156529.666667,161335,162824.0000001,4405.43915204325
158023.333333,163958.333333,164520.666667,164143.666667,164309,163529.333333,155016.333333,162714.666667,156534.333333,160114.666667,161286.4333333,3588.35964483363
156013.333333,164427.666667,160068.666667,163570,162409.666667,162756.333333,155557.666667,161458,154730.333333,155529,159652.0666667,3801.46121622562
153377.666667,163708.666667,159656.333333,164875.666667,162798.333333,160577,154994.666667,161193.666667,156224,154680.666667,159208.6666668,4115.45783115505
153886,161213.666667,160465,160491,162000.333333,159084.666667,153666.666667,160178.666667,153107.333333,153816,157790.9333334,3670.36850442576
151998,160974.333333,159482.333333,159765.333333,160283.333333,158945.666667,151676.333333,158803.333333,152636,155410.666667,156997.5333332,3687.12665462706
151593.666667,160332,158144.333333,160179.666667,158544.666667,158910.666667,152221.666667,157879.333333,153227,151849.333333,156288.2333334,3606.9617872445
150939.333333,158623,156601.666667,160551.333333,157826.333333,158033,152975.333333,158491,150622,151035,155569.7999999,3772.89712569308
151091,163059.666667,156409,158681.666667,157905.666667,159212,152296.333333,158385.666667,153255.333333,150011.333333,156030.7666667,4190.47479300943
150557,167937.666667,158161.333333,157369,156752.333333,156695.333333,150975.666667,157128.666667,151762,152181.333333,155952.0333333,5150.69376239173
148722,162183.333333,155590.333333,155440.666667,155775.333333,156812,148681,154984.333333,148519.333333,151565,153827.3333332,4414.84275402228
146651,154001.666667,153605.333333,154701,154556,155405,147855,153687.666667,148669.333333,146705.333333,151583.7333333,3621.56239331365
147469,154182.333333,153488,152968.666667,153346.333333,154586.333333,147078,156482.333333,148609.666667,147112.666667,151532.3333333,3566.1587590761
100743.5,107443.75,103542.25,102937.5,106365.75,112554.25,107703.75,108722.75,100252.25,101063,105132.875,4061.12035419415
90241,94393.25,92783.75,93687.75,93918,94311.25,97652.75,94564.25,91189,89849.75,93259.075,2339.57853234889
84795.25,91440.5,89936.75,88363.5,88764,89221.5,87762.25,89264.25,86561.5,84853.25,88096.275,2149.93116314221
83807.25,87692.75,88432,87066.25,88872.25,87864.5,86774.25,87520.25,85664.5,84638.5,86833.25,1646.04099111913
84898.75,88258.5,89528.25,88610,90233,88168,86823,89514,86137,84458.75,87662.925,1998.8687045218
82619.5,85780.75,88314.5,87896.75,88336.75,86080.5,83361,87082.25,84440.75,82596.5,85650.925,2281.06767779793
81664.5,85003.75,88096,85901,85711.75,86378,82006.5,86099.75,82652.5,81553.25,84506.7,2334.66506282069
81938.5,91340.75,87555,85581.75,84654.75,85403.5,87069.25,85115,82550.75,81130.25,85233.95,3008.28200971917
81269.5,84335.75,86277.75,84284.5,85936,84193.5,80714.5,84272,81818.75,82649.25,83575.15,1893.52340668571
80255.25,83619,84122,84697.75,85702.5,84608.25,80275,84150,81930.5,80579.5,82993.975,2046.63516347226
79769,82838.5,84972.75,84593.25,84757.25,83658,81045.75,84870.75,83164.5,79650.75,82932.05,2079.89543941249
128479,134448,135927.333333,137094.666667,137942,138850.666667,147395,137756.666667,131660.333333,128925.666667,135847.9333334,5514.17309160661
126751,132736.333333,138029.333333,135127.333333,132988.666667,132992,126258.333333,135399,126439,126282.333333,131300.3333332,4465.04726309927
